"any","autor","persona/organització","Codi arxiu digital","contingut","durada","exposició","format","Idioma","notes","núm. inv.","productor","títol"
30012007,"Santi Barjau","p",,,"01:01:50","Els cartells de Tàpies i l’esfera pública","MiniDV","català",,20,,"Conferència: Art i missatge del cartell cívic a Catalunya"
6022007,"Raquel Pelta","p",,,"01:03:12","Els cartells de Tàpies i l’esfera pública","MiniDV","castellà",,21,,"Conferència: Dissenyar per a la utopia. Disseny i compromís social a Catalunya"
10032007,"Nuria Enguita Mayo, Carles Guerra, Ursula Biemann","p",,"Presentació de l’exposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007 
","02:48:35","Zona B: als marges d’Europa","MiniDV","castellà / anglès","Cinta 1/2",22,,"Activitat: Presentació"
10032007,"Ursula Biemann, Angela Melitopoulos","p",,"Presentació de l’exposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007 ","02:48:35","Zona B: als marges d’Europa","MiniDV","castellà / anglès","Cinta 2/2",23,,"Activitat: Presentació, "
21032007,"Lisa Parks","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 21 de març de 2007","01:05:52","Zona B: als marges d’Europa","MiniDV","anglès",,24,,"Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
2007,"Hamid Dabashi","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 28 de setembre de 2007. Presentació del conferenciat a càrrec de Catherine David","00:51:27","Bahman Jalali","MiniDV","anglès",,25,,"Conferència: Bahman Jalali i la creació de la modernitat estética iraniana"
26102001,"Mika Vainio","p",,,00:34:23,"Arquitectures del discurs","MiniDV","És música","Existeix DVD. Núm. Inv. 337",26,,"Activitat: Concert Mika Vainio.
Logical Volume Identifier"
10101990,"Serge Guilbaut","p","002_FA1_C002_NI33",,,"Expressionisme abstracte","cassette","castellà / anglès","DIGITALITZAT febrer 2011",33,,"Conferència: Invasió cultural a Europa durant la Guerra Freda"
10101990,"Serge Guilbaut","p","002_FA1_C002_NI34",,,"Expressionisme abstracte","cassette","castellà ","DIGITALITZAT febrer 2011",34,,"Conferència: Invasió cultural a Europa durant la Guerra Freda"
24101990,"Marcelin Pleynet","p","002_FA1_C002_NI35",,,"Expressionisme abstracte","cassette","francès","DIGITALITZAT febrer 2011",35,,"Conferència: L’expressionisme abstracte com a construcció analítica"
24101990,"Marcelin Pleynet","p",,,,"Expressionisme abstracte","cassette","francès","Cinta còpia ",36,,"Conferència: L’expressionisme abstracte com a construcció analítica"
25101990,"Robert Rosenblum","p","002_FA1_C002_NI37",,,"Expressionisme abstracte","cassette","anglès","DIGITALITZAT febrer 2011",37,,"Conferència: Expressionisme abstracte i tradició"
25101990,"Robert Rosenblum","p",,,,"Expressionisme abstracte","cassette","anglès","Cinta còpia",38,,"Conferència: Expressionisme abstracte i tradició"
14111990,"Ann Gibson","p","002_FA1_C002_NI39",,,"Expressionisme abstracte","cassette","anglès","DIGITALITZAT febrer 2011",39,,"Conferència: Expressionisme abstracte i identitat sexual"
22111990,"Gail Levin","p","002_FA1_C002_NI40",,,"Expressionisme abstracte","cassette","anglès","DIGITALITZAT febrer 2011",40,,"Conferència: Influències catalanes en l’expressionisme abstracte a Nord-Amèrica"
21111990,"Anna C. Chave ","p","002_FA1_C002_NI41",,,"Expressionisme Abstracte","cassette","anglès","DIGITALITZAT febrer 2011",41,,"Conferència: Pollock’s Script / Krasner’s"
12121990,"Stephen C. Foster ","p","002_FA1_C002_NI42",,,"Expressionisme abstracte","cassette","anglès","DIGITALITZAT febrer 2011",42,,"Conferència: L’expressionisme abstracte i la crisi de la crítica"
13121990,"Robert Hobbs","p","002_FA1_C002_NI43",,,"Expressionisme abstracte","cassette","anglès","DIGITALITZAT febrer 2011",43,,"Conferència: El paper del mite a l’expressionisme abstracte"
18121990,"Robert Storr","p","003_FA1_C002_NI44",,,"Louise Bourgeois","cassette","anglès","DIGITALITZAT febrer 2011",44,,"Conferència: Louise Bourgeois "
11061992,"Kzysztof Wodiczko ","p","010_FA1_C002_NI45",,,"Krzysztof Wodiczko.  Instruments, projeccions i vehicles","cassette","anglès","Cinta 1/2
DIGITALITZAT febrer 2011",45,,"Conferència"
11061992,"Kzysztof Wodiczko ","p","010_FA1_C002_NI46",,,"Krzysztof Wodiczko.  Instruments, projeccions i vehicles","cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",46,,"Conferència"
31051994,"Jean–Francois Chevrier","p","017_FA1_C002_NI47",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 1/6
DIGITALITZAT febrer 2011",47,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública "
31051994,"Jean-Francois Chevrier","p","017_FA1_C002_NI48",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 2/6
DIGITALITZAT febrer 2011",48,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública"
1061994,"Jean-Francois Chevrier","p","017_FA1_C002_NI49",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 3/6
DIGITALITZAT febrer 2011",49,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública"
1061994,"Jean-Francois Chevrier","p","017_FA1_C002_NI50",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 4/6
DIGITALITZAT febrer 2011",50,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública"
2061994,"Jean-Francois Chevrier ","p","017_FA1_C002_NI51",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 5/6
DIGITALITZAT febrer 2011",51,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública"
2061994,"Jean-Francois Chevrier ","p","017_FA1_C002_NI52",,,"L’any 1967: l’objecte d’art i la cosa pública","cassette","francès","Cinta 6/6
DIGITALITZAT febrer 2011",52,,"Seminari: L’any 1967: l’objecte d’art i la cosa pública"
24091994,"Richard Wolheim","p","019_FA1_C002_NI53",,,"Sobre el formalisme i els seus tipus","cassette","anglès","DIGITALITZAT febrer 2011",53,,"Conferència: Sobre el formalisme i els seus tipus "
13121994,"Giuseppe Chiari","p","021_FA1_C008_NI54",,,"En l’esperit de Fluxus","cassette","italià","DIGITALITZAT febrer 2011",54,,"Activitat: Concerto per pianoforte"
14121994,"René Block ","p",,,,"En l’esperit de Fluxus","cassette","alemany","Observacions: cinta sense àudio, sense enregistrament?",55,,"Conferència: Música Fluxus: l'acció quotidiana "
14121994,"René Block","p","021_FA1_C002_NI56",,,"En l’esperit de Fluxus","cassette","alemany","DIGITALITZAT febrer 2011",56,,"Conferència: Música Fluxus: l'acció quotidiana"
15121994,"José Iges","p","021_FA1_C002_NI57",,,"En l’esperit de Fluxus","cassette","castellà","Observacions: interferència en l'àudio. So contaminat.
DIGITALITZAT febrer 2011",57,,"Conferència: Fluxus i la música espanyola "
9031994,"Craigie Hosfield, Jean-Francois Chevrier, Manuel J. Borja-Villel","p","027_FA1_C013_NI58",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglès","Cinta 1/2
DIGITALITZAT febrer 2011",58,,"Activitat: Conversa Craigie Hosfield, Jean-Francois Chevrier i Manuel J. Borja-Villel"
9031994,"Craigie Hosfield, Jean-Francois Chevrier, Manuel J. Borja-Villel","p","027_FA1_C013_NI59",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",59,,"Activitat: Conversa Craigie Hosfield, Jean-Francois Chevrier i Manuel J. Borja-Villel
"
16051995,"Andreu Ross, Gyan Prakash","p","022_FA1_C002_NI60",,,"Els límits del museu","cassette","anglès","Cinta 1/8
DIGITALITZAT febrer 2011",60,,"Simposi: Els limits del museu  
Conferència: El gran joc americà dels nombres / Andreu Ross
Conferència: Objectes del museo / Gyan Prakash
"
16051995,"Andres Ross, Gyan Prakash","p","022_FA1_C002_NI61",,,"Els límits del museu","cassette","anglès","Cinta 2/8
DIGITALITZAT febrer 2011",61,,"Simposi: Els limits del museu
Conferència: El gran joc americà dels nombres / Andreu Ross
Conferència: Objectes del museo / Gyan Prakash
"
17051995,"Friedrick Kittler ","p","022_FA1_C002_NI62",,,"Els límits del museu","cassette","alemany","Cinta 3/8
DIGITALITZAT febrer 2011",62,,"Simposi: Els limits del museu
Conferència: Museus a la frontera digital"
17051995,"Werner Hamacher","p","022_FA1_C002_NI63",,,"Els límits del museu","cassette","anglès","Cinta 4/8
DIGITALITZAT febrer 2011",63,,"Simposi: Els limits del museu
Conferència: Exposicions de la mare. Una curta passejada per diferents museus "
17051995,"Friedrick Kittler, Werner Hamacher","p","022_FA1_C002_NI64",,,"Els límits del museu","cassette","anglès","Cinta 5/8
Observacions: nomès hi ha un trac de la cara A gravat.
DIGITALITZAT febrer 2011",64,,"Simposi: Els limits del museu
Sessió de preguntes i respostes"
18051995,"Kristin Ross ","p","022_FA1_C002_NI65",,,"Els límits del museu","cassette","anglés","Cinta 6/8
DIGITALITZAT febrer 2011",65,,"Simposi: Els limits del museu
Conferència: París assassinat? 
Conclusions
"
18051995,"Alexander García Düttmann","p","022_FA1_C002_NI66",,,"Els límits del museu","cassette","anglés ","Cinta 7/8
DIGITALITZAT febrer 2011",66,,"Simposi: Els limits del museu
Conferència: Fins a quin punt és portàtil el teu museu? Collages 
Conclusions
"
18051995,"Kristin Ross, Alexander García ","p","022_FA1_C002_NI67",,,"Els límits del museu","cassette","anglés","Cinta 8/8
DIGITALITZAT febrer 2011",67,,"Simposi: Els limits del museu
Sessió de preguntes i respostes
"
18091995,,,"027_FA1_C013_NI68",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","Cinta 1/2
DIGITALITZAT febrer 2011",68,,"Activitat: Entrevista Manolo Vital"
18091995,,,"027_FA1_C013_NI69",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","Cinta 2/2
DIGITALITZAT febrer 2011",69,,"Activitat: Entrevista Manolo Vital"
29101995,,,"027_FA1_C013_NI69",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","Cinta 1/2 
Observacions: àudio contaminat.
DIGITALITZAT febrer 2011",70,,"Activitat: Taula Rodona Arquitectes"
29101995,,,"027_FA1_C013_NI71",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","Cinta 2/2
Observacions: àudio contaminat.
DIGITALITZAT febrer 2011",71,,"Activitat: Taula Rodona Arquitectes"
1121995,,,"027_FA1_C013_NI72",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà / anglès","Cinta 1/2
DIGITALITZAT febrer 2011",72,,"Activitat: Entrevista Cirilo Poblador"
1121995,,,"027_FA1_C013_NI73",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","Cinta 2/2
DIGITALITZAT febrer 2011",73,,"Activitat: Entrevista Cirilo Poblador"
1121995,,,"027_FA1_C013_NI74",,,"Craigie Horsfield. La ciutat de la gent","cassette","català","DIGITALITZAT febrer 2011",74,,"Activitat: Entrevista a Sr. Lledó"
5121995,,,"027_FA1_C013_NI75",,,"Craigie Horsfield. La ciutat de la gent","cassette","català","DIGITALITZAT febrer 2011",75,,"Entrevista a Sr. Lledó"
2021996,,,"027_FA1_C013_NI76",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglès/castellà?","DIGITALITZAT febrer 2011",76,,"Activitat: Entrevista amb gent Jove de Nou Barris"
2021996,"Jean-Francois Chevrier,  Craigie Horsfield, Manuel J. Borja-Villel","p","027_FA1_C013_NI77",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglès","DIGITALITZAT febrer 2011",77,,"Activitat: Conversa Jean-Francois Chevrier,  Craigie Horsfield i Manuel J. Borja-Villel
Base o ajut per el text d´introducció del catàleg
"
19021996,,,"027_FA1_C013_NI78",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà / català","DIGITALITZAT febrer 2011",78,,"Activitat: Entrevista M.M. i N.C. a Joseph Bonilla"
19021996,,,"027_FA1_C013_NI79",,,"Craigie Horsfield. La ciutat de la gent","cassette","català","DIGITALITZAT febrer 2011",79,,"Activitat: Entrevista M.M. i N.C. a Rosa Saiz"
19021996,,,"027_FA1_C013_NI80",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà / català","DIGITALITZAT febrer 2011",80,,"Activitat: Entrevista M.M. i N.C. a Oscar Poblador"
2031996,"Manuel J. Borja-Villel","p","027_FA1_C013_NI81",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglès","DIGITALITZAT febrer 2011",81,,"Conversa amb gitanos."
2031996,,,"027_FA1_C013_NI82",,,"Craigie Horsfield. La ciutat de la gent","cassette","castellà","DIGITALITZAT febrer 2011",82,,"Activitat: Conversa amb gitanos Torre Baró"
2031996,,,"027_FA1_C013_NI83",,,"Craigie Horsfield. La ciutat de la gent","cassette","anglés","DIGITALITZAT febrer 2011",83,,"Activitat: Conversa Jean-Francois Chevrier, Craigie Horsfield i Manuel J. Borja-Villel"
10071996,"Catherine David","p","054_FA1_C002_NI84",,,"Documenta X","cassette","castellà","Cinta 1/2 
Observacions: interferències en l'àudio aleatòries.
DIGITALITZAT febrer 2011",84,,
10071996,"Catherine David","p","054_FA1_C002_NI85",,,"Documenta X","cassette","castellà","Cinta 2/2
DIGITALITZAT febrer 2011",85,,
26091996,"Carles Ameller, Maite Ninou, Joan Pueyo, Jacobo Sucari, Eugeni Bonet","p","028_FA1_C002_NI86",,,"Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys","cassette","català","Cinta 1/2
DIGITALITZAT febrer 2011",86,,"Activitat: Taula rodona Sorolls de vídeo"
26091996,"Carles Ameller, Maite Ninou, Joan Pueyo, Jacobo Sucari","p","028_FA1_C002_NI87",,,"Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys","cassette","català","Cinta 2/2
DIGITALITZAT febrer 2011",87,,"Activitat: Taula rodona Sorolls de vídeo"
11111996,"Dore Ashton","p","029_FA1_C002_NI88",,,"Robert Motherwell","cassette","anglès","DIGITALITZAT febrer 2011",88,,"Conferència: Robert Motherwell"
1997,"Mireia Sentis, Assumpta Bassas","p",,"Conferència realitzada l’11 de març de 1997 a l’auditori de la Fundació Antoni Tàpies","01:37:06","Ana Mendieta","cassette","català","Activitat realitzada per l´Associació d´Amics de la Fundació Antoni Tàpies.
S’ha fet còpia en CD (18/03/2008)",89,,"Conferència: Ana Mendieta "
22051997,"Lula Vanderlei, Gina Ferreira, Luciano Figuereiro, Nuria Enguita Mayo, Manuel J. Borja-Villel","p","033_FA1_C013_NI90",,,"Lygia Clark","cassette","castellà / brasiler","Lloc: Rio de Janeiro
Cinta 1/2
DIGITALITZAT febrer 2011",90,,"Activitat: Conversa amb Lula Vanderlei, Gina Ferreira, Luciano Figuereiro, Nuria Enguita Mayo i Manuel J. Borja-Villel"
22051997,"Lula Vanderlei, Gina Ferreira, Luciano Figuereiro, Nuria Enguita Mayo, Manuel J. Borja-Villel","p","033_FA1_C013_NI91",,,"Lygia Clark","cassette","castellà / brasiler","Lloc: Rio de Janeiro
Cinta 2/2
DIGITALITZAT febrer 2011",91,,"Activitat: Conversa amb Lula Vanderlei, Gina Ferreira, Luciano Figuereiro, Nuria Enguita Mayo i Manuel J. Borja-Villel"
31051997,"Michelangelo Pistoletto, Jean-Christophe Amman, Saskia Bos, Martin Kuns, Ignasi de Solà-Morales","p","D05_FA1_C002_NI92",,,,"cassette","anglès","Cinta 1/2
DIGITALITZAT febrer 2011",92,,"Activitat: Taula rodona: Art i utopia.  IKT a Barcelona"
31051997,"Michelangela Pistoletto, Jean-Christophe Amman, Saskia Bos, Martin Kuns, Ignasi de Solà-Morales","p","D05_FA1_C002_NI93",,,,"cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",93,,"Taula rodona: Art i utopia.  IKT a Barcelona"
24091997,,,"D06_FA1_C002_NI94",,,,"cassette","anglès","Cinta 1/2 
DIGITALITZAT febrer 2011",94,,"Activitat: Trobada anual CIMAM
"
24091997,,,"D06_FA1_C002_NI95",,,,"cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",95,,"Activitat: Trobada anual CIMAM"
22101997,"Manuel J. Borja-Villel, Luciano Figuereiro","p","033_FA1_C002_NI96",,,"Lygia Clark","cassette
","anglès i portuguès","Cinta 1/2
DIGITALITZAT febrer 2011",96,,"Activitat:  Cabeça colectiva
Conversa amb Luciano Figuereiro i altres experts (?) sobre la vida i obra de Lygia Clark"
22101997,"Manuel J. Borja-Villel, Luciano Figuereiro","p","033_FA1_C002_NI97",,,"Lygia Clark","cassette","anglès i portuguès","Cinta 2/2
DIGITALITZAT febrer 2011",97,,"Activitat:  Cabeça colectiva
Conversa amb Luciano Figuereiro i altres experts (?) sobre la vida i obra de Lygia Clark"
5111997,,,"B01_FA1_C013_NI98",,,"Tàpies. El tatuatge i el cos. Papers, cartons i collages","cassette","català","Observacions: àudio amb interferència
DIGITALITZAT febrer 2011",98,,"Activitat: Conversa Manuel J. Borja-Villel amb Antoni Tàpies"
7111997,,,"B01_FA1_C013_NI99",,,"Tàpies. El tatuatge i el cos. Papers, cartons i collages","cassette","català","Observacions: àudio amb interferèncias
DIGITALITZAT febrer 2011",99,,"Activitat: Conversa Manuel J. Borja-Villel amb Antoni Tàpies"
16121997,"David Medalla","p","033_FA1_C002_NI100",,,"Lygia Clark","cassette","anglès","DIGITALITZAT febrer 2011",100,,"Conferència: Un conte de Lygia Clark sobre l’últim mirall de la Xina"
22051998,"David Harvey ","p","035_FA1_C002_NI101",,,"Subcultura i homogeneïtzació","cassette","anglès","Cinta 1/2
DIGITALITZAT febrer 2011",101,,"Seminari: Subcultura i homogeneïtzació
Conferència: Els espais de la utopia
"
22051998,"David Harvey ","p","035_FA1_C002_NI102",,,"Subcultura i homogeneïtzació","cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",102,,"Seminari: Subcultura i homogeneïtzació
Conferència: Els espais de la utopia
"
23051998,"Phil Cohen","p","035_FA1_C002_NI103",,,"Subcultura i homogeneïtzació","cassette","anglés","Cinta 1/4
DIGITALITZAT febrer 2011",103,,"Conferència: Ciutats invisibles. Treball cultural, capital cultural i incidencia de l’element local en la regeneració urbana
"
23051998,"Dick Hebdige","p","035_FA1_C002_NI104",,,"Subcultura i homogeneïtzació","cassette","anglès","Cinta 2/4
DIGITALITZAT febrer 2011",104,,"Conferència: Cultes, gernacions, clubs: àmbits de confluència a la fi del mi·leni
"
23051998,"Jean Francois Chervrier, B. Holnes, Ilana Sabana","p","035_FA1_C002_NI105",,,"Subcultura i homogeneïtzació","cassette","francès / anglès","Cinta 3/4
DIGITALITZAT febrer 2011",105,,"Conferència: Presentació de proyectes que duen a terme grups de París
"
23051998,"Jean-Francois Chevrier, B. Holnes, Ilana Sabana","p","035_FA1_C002_NI106",,,"Subcultura i homogeneïtzació","cassette","anglès","Cinta 4/4
DIGITALITZAT febrer 2011",106,,"Conferència: Presentació de proyectes que duen a terme grups de París
"
14051999,"W. J. T. Mitchell","p","039_FA1_C002_NI107",,,"Art & Language en pràctica
","cassette","anglès","DIGITALITZAT febrer 2011",107,,"Activitat: Cicle de conferències Pràctiques dialògiques i representació 
Conferència: Abstracció i intimitat
"
15051999,"Charles Harrison","p","039_FA1_C002_NI108",,,"Art & Language en pràctica","cassette","anglès","DIGITALITZAT febrer 2011",108,,"Activitat: Cicle de conferències Pràctiques dialògiques i representació
Conferència: A propòsit d’una pintura pintada per actors 
"
15051999,"John Welchman","p","039_FA1_C002_NI109",,,"Art & Language en pràctica","cassette","anglès","DIGITALITZAT febrer 2011",109,,"Cicle de conferències Pràctiques dialògiques i representació
Conferència: L’art públic i l’espectacle del diner: un comentari sobre “Art Rebate/Arte Reembolso”"
15051999,"John Robert","p","039_FA1_C002_NI110",,,"Art & Language en pràctica","cassette","anglès","DIGITALITZAT febrer 2011",110,,"Activitat: Cicle de conferències Pràctiques dialògiques i representació
Conferència: Més enlla d’Adorno: art, autonomia i crítica
"
24111999,"Benjamín H.D. Buchloh","p","041_FA1_C002_NI111",,,"James Coleman","cassette","castellà / anglès","Cinta 1/2
DIGITALITZAT febrer 2011",111,,"Conferència: Memoria i espectacle en l´obra James Coleman"
24111999,"Benjamín H.D. Buchloh","p","041_FA1_C002_NI112",,,"James Coleman","cassette","castellà / anglès","Cinta 2/2
DIGITALITZAT febrer 2011",112,,"Conferència: Memoria i espectacle en l´obra James Coleman"
21012000,"Diedrich Diederichsen","p","042_FA1_C002_NI113",,,"Renée Green. Ombres i senyals","cassette","anglès","DIGITALITZAT febrer 2011",113,,"Conferència: Turisme polític"
25012000,"Renée Green","p","042_FA1_C002_NI114",,,"Renée Green. Ombres i senyals","cassette","anglès","DIGITALITZAT febrer 2011",114,,"Conferència: Renée Green parla del seu treball"
10022000,"Joan Guardiola","p","043_FA1_C003_NI115",,,"Andy Warhol: cinema, vídeo i tv","cassette","castellà","DIGITALITZAT febrer 2011",115,,"Activitat: Roda de prensa Andy Warhol"
6062000,"Brian Holmes","p","044_FA1_C002_NI116",,,"Rainer Oldendorf","cassette","anglès","DIGITALITZAT febrer 2011",116,,"Conferència: Tessel·la: sobre la imbricació de llocs en lárt de Rainer Oldendorf"
21092000,"Jan Bondeson","p","045_FA1_C002_NI117",,,"Cultures d’arxiu","cassette","anglès","DIGITALITZAT febrer 2011",117,,"Conferència: El nen peix i la dona gat"
23092000,"Yervant Gianikian, Angela Ricci-Lucchi, Christa Blümlinger","p","045_FA1_C002_NI118",,,"Cultures d’arxiu","cassette","anglès","DIGITALITZAT febrer 2011",118,,"Conferència: Directors de cinema als arxius. Algunes observacions sobre les revisions"
23092000,"Allan Sekula","p","045_FA1_C002_NI119",,,"Cultures d’arxiu","cassette","anglès","DIGITALITZAT febrer 2011",119,,"Conferència: Repensar el trànsit en les fotografies"
23092000,"Lluís Codina","p","045_FA1_C002_NI120",,,"Cultures d’arxiu","cassette","castellà","DIGITALITZAT febrer 2011",120,,"Conferència: Navegar i fer preguntes a Internet: com (des)ordenen el món els motors de recerca a Internet"
23092000,"Val Williams","p","045_FA1_C002_NI121",,,"Cultures d’arxiu","cassette","anglès","DIGITALITZAT febrer 2011",121,,"Conferència: L’artista i l’arxiu: la reinterpretació de fotografies durant els anys noranta"
28092000,"Santiago Eraso, Pedro G. Romero","p","045_FA1_C015_NI122",,,"Cultures d’arxiu","cassette","castellà","Cinta 1/2
DIGITALITZAT febrer 2011",122,,"Activitat: Taller Cultures d´arxiu"
28092000,"Santiago Eraso, Pedro G. Romero","p","045_FA1_C015_NI123",,,"Cultures d’arxiu","cassette","castellà","Cinta 2/2
DIGITALITZAT febrer 2011",123,,"Activitat: Taller Cultures d´arxiu"
5102000,"Ramon Alberch","p","045_FA1_C002_NI124",,,"Cultures d’arxiu","cassette","català","DIGITALITZAT febrer 2011",124,,"Conferència: La dimensió democràtica de l'arxiu Presentació de la ONG: Arxivers sense Fronteres"
30112000,"Stephan Schmidt-Wulffen","p","046_FA1_C002_NI125",,,"Matt Mullican. Més detalls d’un univers imaginari","cassette","anglès","DIGITALITZAT febrer 2011",125,,"Conferència: Dins i fora del marc. Matt Mullican i la generació de la imatge"
14122000,"Matt Mullican","p","046_FA1_C002_NI126",,,"Matt Mullican. Més detalls d’un univers imaginari","cassette","anglès","DIGITALITZAT febrer 2011",126,,"Conferència: Més detalls d’un univers imaginari"
13022001,"Lynne Cooke","p","047_FA1_C002_NI127",,,"Eulàlia Valldosera. Obres 1990-2000","cassette","anglès","DIGITALITZAT febrer 2011",127,,"Conferència: Disgresiones"
28022001,"Eulàlia Valldosera ","p","047_FA1_C002_NI128",,,"Eulàlia Valldosera. Obres 1990-2000","cassette","català","DIGITALITZAT febrer 2011",128,,"Conferència: Experiències"
6042001,"Victor Burgin","p","048_FA1_C002_NI129",,,"Victor Burgin","cassette","anglès","DIGITALITZAT febrer 2011",129,,"Conferència: Lloc i memòria: algunes obres de video recent "
6042001,"Victor Burgin","p",,,,"Victor Burgin","cassette","anglès","còpia",130,,"Conferència: Lloc i memòria: algunes obres de video recent"
14062001,"Peter Wollen","p","048_FA1_C002_NI131",,,"Victor Burgin","cassette","anglès ","DIGITALITZAT febrer 2011",131,,"Conferència: Art i utopia"
26102001,"Ute Meta Bauer, madeinbarcelona, Viviana Narotzky, Mika Vainio","p, o, p, p","051_FA1_C002_NI132",,,"Arquitectures del discurs","cassette","anglès /  català","Cinta 1/2
DIGITALITZAT febrer 2011",132,,"Presentació a càrrec d’ Ute Meta Bauer, madeinbarcelona, Viviana Narotzky i Mika Vainio"
26102001,"Ute Meta Bauer, madeinbarcelona, Viviana Narotzky, Mika Vainio","p, o, p, p","051_FA1_C002_NI133",,,"Arquitectures del discurs","cassette","anglès","Cinta 2/2
DIGITALITZAT febrer 2011",133,,"Presentació a càrrec d’ Ute Meta Bauer, madeinbarcelona, Viviana Narotzky i Mika Vainio"
13122001,"Susan Stewart","p","052_FA1_C002_NI134",,,"Hans-Peter Feldmann. Exposició d’art","cassette","anglès","DIGITALITZAT febrer 2011",134,,"Conferència: Iconoclastia i l'art del futur"
6032002,"Valeriano Bozal","p","053_FA1_C002_NI135",,,"Asger Jorn","cassette","castellà","DIGITALITZAT febrer 2011",135,,"Conferència: Cridar amb les mans, cridar amb els ulls"
2262002,"Gema Martín Muñoz","p",,,,"Representacions àrabs contemporànies. Beirut / Líban","cassette","anglès","136b",136,,"Conferència: Palestina, avui. La lluita contra l'ocupació israeliana i la construcció democràtica "
4052002,"Catherine David, Naji Assi, Tony Chakar, Elias Khoury, Rabih Mroué, Paola Yacoub, Michel Lasserre, Walid Raad, Marwan Rechmaoui, Walid Sadek, Jalal Toufic","p","054_FA1_C002_NI137",,,"Representacions àrabs contemporànies. Beirut / Líban ","cassette","castellà / francès","Cinta 1/3
DIGITALITZAT febrer 2011",137,,"Introducció"
4052002,"Catherine David, Naji Assi, Tony Chakar, Elias Khoury, Rabih Mroué, Paola Yacoub, Michel Lasserre, Walid Raad, Marwan Rechmaoui, Walid Sadek, Jalal Toufic","p","054_FA1_C002_NI138",,,"Representacions àrabs contemporànies. Beirut / Líban ","cassette","castellà / francès","Cinta 2/3
DIGITALITZAT febrer 2011",138,,"Introducció"
4052002,"Catherine David, Naji Assi, Tony Chakar, Elias Khoury, Rabih Mroué, Paola Yacoub, Michel Lasserre, Walid Raad, Marwan Rechmaoui, Walid Sadek, Jalal Toufic","p","054_FA1_C002_NI139",,,"Representacions àrabs contemporànies. Beirut / Líban ","cassette","castellà / francès","Cinta 3/3
DIGITALITZAT febrer 2011",139,,"Introducció"
22062002,"Saree Makdisi, Catherine David, Nuria Enguita Mayo","p","054_FA1_C002_NI141",,,"Representacions àrabs contemporànies. Beirut / Líban","cassette","anglès i traducció al castellà","2/2
DIGITALITZAT febrer 2011",141,,"Conferència: Beirut, una ciutat sense història?"
22062002,"Saree Makdisi, Catherine David, Nuria Enguita Mayo, Gema Martín Muñoz","p","054_FA1_C002_NI140",,,"Representacions àrabs contemporànies. Beirut / Líban","cassette","anglès i traducció al castellà","1/2
DIGITALITZAT febrer 2011",140,,"Conferència: Beirut, una ciutat sense història?"
22062002,"Gema Martín Muñoz","p",,,,"Representacions àrabs contemporànies. Beirut / Líban","cassette","castellà",,136,,"Conferència: Palestina, avui. La lluita contra l'ocupació israeliana i la construcció democràtica"
4102002,"Isidoro Valcárcel Medina, José Díaz Cuyás, Esteban Pujals Gesalí","p","056_FA1_C014_NI143",,,"Anar i venir de Valcárcel Medina","cassette","castellà","DIGITALITZAT febrer 2011",143,,"Activitat: Presentació del projecte i la publicació Ir y venir de Valcárcel Medina, així com del llibre d’artista Rendición de la hora"
