"any","autor","persona/organització","Codi arxiu digital","contingut","durada","exposició","format","Idioma","notes","núm. inv.","productor","títol"
2007,"Josep Maria Montaner, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","MiniDV (1/2)","castellà","1/2",412,,"Imaginaris urbans: Barcelona a Catalunya"
2007,"Josep Maria Montaner, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","MiniDV (2/2)","castellà","2/2",413,,"Imaginaris urbans: Barcelona a Catalunya"
2007,"Josep Maria Montane, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","DVD","castellà",,414,,"Imaginaris urbans: Barcelona a Catalunya"
2007,"Josep Maria Montaner, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","DVD","castellà","còpia",415,,"Imaginaris urbans: Barcelona a Catalunya"
2007,"Josep Maria Montaner, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","CD (àudio Mp3)","castellà",,416,,"Imaginaris urbans: Barcelona a Catalunya"
2007,"Josep Maria Montaner, Ximena Covaleda, María Luisa Daglla, Ignasi Ferrer Coll, Víctor Gonzàlez Martí","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 12 de maig de 2007","01:50:01","Imaginaris urbans a l’Amèrica llatina: arxius","CD (àudio Mp3)","castellà","còpia",417,,"Imaginaris urbans: Barcelona a Catalunya"
2008,"Helena Tatay, Anna Maria Maiolino","p",,"Entrevista d’Helena Tatay a Anna Maria Maiolino realitzada a Sao Paulo el gener de 2008.","05:09:30","Anna Maria Maiolino","CD (àudio Mp3)","castellà",,418,,"Entrevista d’Helena Tatay a Anna Maria Maiolino"
2008,"Helena Tatay, Anna Maria Maiolino","p",,"Entrevista d’Helena Tatay a Anna Maria Maiolino realitzada a Sao Paulo el gener de 2008.","05:09:30","Anna Maria Maiolino","CD (àudio Mp3)","castellà",,419,,"Entrevista d’Helena Tatay a Anna Maria Maiolino"
2007,"Gérard Imbert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de maig de 2007","01:23:16","Imaginaris urbans a l’Amèrica llatina: arxius","MiniDV","castellà",,420,,"Telepolis: televisió i imaginaris socials"
2007,"Gérard Imbert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de maig de 2007","01:23:16","Imaginaris urbans a l’Amèrica llatina: arxius","DVD","castellà",,421,,"Telepolis: televisió i imaginaris socials"
2007,"Gérard Imbert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de maig de 2007","01:23:16","Imaginaris urbans a l’Amèrica llatina: arxius","DVD","castellà","còpia",422,,"Telepolis: televisió i imaginaris socials"
2007,"Gérard Imbert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de maig de 2007","01:23:16","Imaginaris urbans a l’Amèrica llatina: arxius","CD (àudio Mp3)","castellà",,423,,"Telepolis: televisió i imaginaris socials"
2007,"Gérard Imbert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de maig de 2007","01:23:16","Imaginaris urbans a l’Amèrica llatina: arxius","CD (àudio Mp3)","castellà","còpia",424,,"Telepolis: televisió i imaginaris socials"
,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 20077","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","MiniDV","català, castellà","1/2",425,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 2007","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","MiniDV","català, castellà","2/2",226,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 2007","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","DVD","català, castellà",,427,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 2007","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","DVD","català, castellà","còpia",428,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
