"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
"1984","042_FV7_C016_NI442","00:32:00","Renée Green. Ombres i senyals",,442,,"Babuin, digitalització (gener 2011)","Filmoteca Española, Marga Lobo","o, p","gravació antiga","Ferran Alberich","p","mono",,"VHS","colors de gravació antiga","Bajo el Signo de las Sombras"
"1999-2000",,"00:04:00","Registres i hàbits. Màquina de temps / imatges d’espai",,631,"16 mm transferit a DVD, color, so, 4 min (dreta)",,,,,"Jeanne Faust","p",,,"16 mm transferit a DVD",,"Balmorhea (detra)"
"1999-2000",,"00:05:00","Registres i hàbits. Màquina de temps / imatges d’espai",,632,"16 mm transferit a DVD, color, so, 5 min (esquerra)",,,,,"Jeanne Faust","p",,,"16 mm transferit a DVD",,"Balmorhea (esquerra)"
"1993, 1996","038_FV7_C016_NI272","01:23:00","Merce Cunningham",,272,"és una còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation (Nova York)","o",,,,,"2/2","VHS","color","Beach Birds for Camera
CRWDSPCR (Crowdspacer)"
"1993
x",,"00:10:35","Steve McQueen",,555,,,,,,"Steve McQueen","p","no",,"Pel·lícula de 16 mm transferida a DVD","vídeo, b/n, sense so","Bear (Ós)"
"2007",,"00:47:42","Zona B: als marges d’Europa","Nivell 3",651,"Original",,,,"Bona","Oktay Ince, VideA, Angela Melitopoulos","o, o, p","V.O. sense subtítols","(Passing) Left side","MiniDV","Color","Behind the mountain (Detrás de la montaña)"
"2007",,"00:47:41","Zona B: als marges d’Europa","Nivell 3",652,"Original",,,,"Bona","Oktay Ince, VideA, Angela Melitopoulos","o, o, p","V.O. subt. en anglès","Right side","MiniDV","Color","Behind the mountain (Detrás de la montaña)"
,"054_FV7_C016_NI792","02:00:00","Representacions àrabs contemporànies. Beirut  / Líban",,792,,,,,,"Mahmoud Hojeij","p",,,"VHS",,"Beirut Palermo Beirut"
"1990 - 2001",,"00:33:37","Arquitectures del discurs",,748,"""Realizado por Los Chicos de Gracia para los vecinos del Besós (Imágenes de los vecinos)""
",,,,"Regular","Los Chicos de Gracia","o","V. O. en castellà. Sense subtítols",,"DVD","Color","Besos al Besós"
"1983-1991",,"01:25:02","Els límits del museu",,453,,,"Antoni Muntadas","p",,,,,,"VHS",,"Between the Frames"
"1991","022_FV7_C016_NI497","02:41:00","Els límits del museu",,497,,"Babuin, digitalització (gener 2011)","Antoni Muntadas","p","còpia master","Antoni Muntadas","p","si","1/1","VHS","color","Between the frames (capítols 1,2,3,4,5,6)"
"1991","022_FV7_C016_NI498","01:25:00","Els límits del museu",,498,,"Babuin, digitalització (gener 2011)","Antoni Muntadas","p","còpia master","Antoni Muntadas","p","si","1/1","VHS","color","Between the frames (capítols 7,8)"
"1970-1972","036_FV1_C016_NI161","00:09:50","Dan Graham","Body Press",161,"Pel.lícula usada durant tota l'exposició
Còpia enviada per Marian Goodman","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Dan Graham","p",,"Dan Graham","p","sense so",,"16 mm","color","Body Press. Part 1
"
"1970-1972","036_FV1_C016_NI162","00:09:50","Dan Graham","Body Press",162,"Pel.lícula usada durant tota l'exposició
Còpia enviada per Marian Goodman","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Dan Graham","p",,"Dan Graham","p","sense so",,"16 mm","color","Body Press. Part 2
"
"1974","030_FV7_C016_NI78","00:30:00","Ana Mendieta","Projecció de soterrani",78,"Còpia fet d'un original dolent del CGAC. 56 seg, repetits fins a 30 minuts","Babuin, digitalització (gener 2011)","Ana Mendieta","p",,"Ana Mendieta","p","mut","còpia 1","VHS ",,"Body Tracks, University of Iowa, Iowa"
"1968",,"00:39:43","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",719,"14-19 de maig de 2008",,,,,"Grup ARC","o","V.O. Subtitulada en castellà","6.2","DVD b/n","Curtmetratge. PAL, 4/3. Stereo","CA 13, comité d'action du 13ème arrondissement de Paris."
,"024_FV7_C016_NI431","00:05:30","Jana Sterbak. Velleitas",,431,"són una sèrie de gags
Fundació Antoni Tàpies, UPC","Babuin, digitalització (gener 2011)",,,"bona",,,"no n'hi ha",,"VHS","color","Cadira Autònoma"
"1995",,,"Jana Sterbak. Velleitas",,262,"còpia",,,,"mala qualitat",,,,"1/1","NTSC",,"Cage for sound"
"1995","024_FV7_C016_NI430","00:09:00","Jana Sterbak. Velleitas","Contemporany Art in Canada 1980 - 94",430,"només hi ha un japonès corren","Babuin, digitalització (gener 2011)",,,"bona","Jana Sterbak","p","si",,"VHS","color","Cage for sound"
"1991","038_FV7_C016_NI270","01:35:00","Merce Cunningham",,270,"és una còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation (Nova York)","o",,,,,"2/2","VHS",,"Cage/Cunningham"
,"038_FV7_C016_NI439","00:33:08","Merce Cunningham",,439,,"Babuin, digitalització (gener 2011)",,,"dolenta al final","urano films","o","mono",,"VHS","color","caos 64"
,"043_FV5_C017_NI398","00:03:00","Andy Warhol: cinema, vídeo i tv",,398,"extractes fets per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"bona",,,"si","1/1","Betacam SP S","color","Càpsula premsa"
" 2002
x",,"00:28:32","Steve McQueen","Artangel ( Londres ) y Documenta  ( kassel ).",552,,,"Artangel ( Londres ), Documenta  ( kassel ).","o, o"," buena","Steve McQueen","p","  sonido","2/2"," dvd ( transferida desde una pelicula en super 8 mm )","  color","Caribs ' Leap."
"1988
","068_FV5_C016_NI565","00:06:30","Tour-ismes. La derrota de la dissensió",,565,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","MICA TV, Channel 4","o, o","buena","MICA TV, Dan Graham","o, p","sonido","2/2","Betacam SP S","color","Cascade (Vertical Landscape)"
"1988",,"00:08:00","Tour-ismes. La derrota de la dissensió",,566,,"NE 4/10/2006","MICA TV,  Channel 4","o, o","buena","MICA TV, Dan Graham","o, p","con sonido","1/2","dvd","color","Cascade / Vertical landscape"
"1995",,"00:26:00","Chris Marker","monitor 33' soterrani",226,"còpia usada durant l'exposició","Babuin, digitalització (gener 2011)",,,,"Chris Marker ","p","si","1/2","VHS pal","color","Casque bleu"
,"044_FV7_C016_NI370","00:30:00","Rainer Oldendorf","Centre d'Ivry",370,"còpia per a exposició
Llorenç Torrades","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/2","VHS","color","Centre d'Ivry. Kamera Links"
,"044_FV7_C016_NI372","00:36:00","Rainer Oldendorf","Centre d'Ivry",372,"còpia per a exposició
Llorenç Torrades",,,,,"Rainer Oldendorf","p","si","1/2","VHS","color","Centre d'Ivry. Kamera reckts"
"1995",,"00:26:15",,,455,,,"Oscar Blanco, Pere Llop","p, p","bona",,,"mono",,"VHS","color","Cifras y Letras"
,"B02_FV7_C006_NI492","00:26:17",,,492,"programa de TVE sobre Antoni Tàpies",,"TVE","o","bona","TVE","o","si","1/1","VHS","color","Cifras y letras, programa nº 872"
"1995, 20 gener.","021_FV7_C016_NI36","--","En l’esperit de Fluxus","activitat - concert speech",36,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,,,"--","còpia",,"color","Cinc ràdios i un lector de notícies"
"1999","040_FV7_C006_NI410","00:30:07","El cinema calculat",,410,"recull de l'exposició Cinema Calculat. 
Amb Eugeni Bonet i Vicen Rodríguez.
",,"BTV","o","bona","BTV","o","V.O. en  català","1/1","VHS","color","Cinema Calculat. Reportatge de BTV sobre l'exposició."
"1968",,"00:69:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",717,"14-19 de maig de 2008",,,,,"Anònims","`","V.O. Subtitulada en castellà","5","DVD b/n","Curtmetratges. PAL, 4/3. Stereo","Cinétracts."
,"054_FV7_C016_NI787","01:24:00","Representacions àrabs contemporànies. Beirut  / Líban",,787,,"Babuin, digitalització (gener 2011)",,,,"Moh'a Soueia","p",,,"VHS",,"Civil War"
"1968",,"00:40:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",716,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Besançon","o","V.O. Subtitulada en castellà","4.3","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Classe de lutte."
"1995",,"01:01:08","Els límits del museu",,838,"© Bill Fontana, 1995",,,,,"Bill Fontana","p","sí",,"CD àudio","àudio","Clock from Time Fountain"
"1985; 1979; 1985; 1981
x ",,"00:33:12","Entusiasme",,614,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido (?)","1","dvd","color y blanco y negro","CLUBLIFE:  Reunión de miembros (1985), estreno de ""camera buff"" (1979), fotos de la vida en el club (1985), behind the window-pane (1981), How to make a Grand P winning Film (años setenta)"
"1995","028_FV5_C017_NI75","00:23:00 ","Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys","auditori",75,"Còpia que va passar el MNCARS per FAT","Babuin, digitalització (gener 2011)",,,,"VVAA","p","bo","còpia màster","Betacam SP","color","Compactat per premsa"
"1995, 29 gener.","021_FV7_C008_NI38","--","En l’esperit de Fluxus","activitat - concert",38,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Reflux orquestra","o","--","còpia","VHS PAL","color","Concert Fluxus

"
"1995, 12 gener.","021_FV7_C016_NI30","--","En l’esperit de Fluxus","activitat - concert",30,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Juan Hidalgo","p","--","còpia","VHS PAL","color","Concierto ZAJ"
"1997","033_FV7_C002_NI139",,"Lygia Clark","Activitat auditori",139,"Vídeo que es va grabar amb una càmeria domèstica pel personal de la fundació.
","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","p","directe","còpia VHS","VHS (tret de l'original de 8 mm)","color","Conferència de David Medalla sobre Lygia Clark del 16 de desembre de 1997"
"2008",,"00:02:04","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghee","Nivell -1",742,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs
Col·lecció de l’artista, Bruges. 2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","NO","1/4","DVD en loop","Color","Connect (1)"
"2008",,"00:02:04","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",743,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDsCol·lecció de l’artista, Bruges. 2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","NO","2/4","DVD en loop","Color","Connect (2)"
"2008",,"00:02:04","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",744,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs
Col·lecció de l’artista, Bruges. 2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","NO","3/4","DVD en loop","Color ","Connect (3)"
"2008",,"00:02:04","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",745,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs
Col·lecció de l’artista, Bruges. 2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop",,"Ria Verhaeghe","p","Bona","Ria Verhaeghe","p","NO","4/4","DVD en loop","Color","Connect (4)"
"1973",,"00:06:48","Anna Maria Maiolino",,831,"Banda sonora: Laura Clayton
So afegit i transcrit a vídeo digital l'any 2000",,,,"bona","Anna Maria Maiolino","p","sí",,"DVD Loop","color","Construção e jogo"
"1973, 1974, 1976, 1982, 1999, 2004",,,"Anna Maria Maiolino",,705,,,,,"bona","Anna Maria Maiolino","p","Portuguès, música",,"DVD","Color","Construção/ Jogo, 1973 - 6'48""
In-Out (antropofagia), 1973 - 8'14""
X, 1974 - 3'
Y, 1974 - 2'28""
+ - = -, 1976 - 3'45""
Verso/inversus, 1979 - 2'45""
Adhoc, 1982 - 3'43""
+ & -, 1999 - 5'59""
1/3 x 2/3 (video instalação arroz e feijão) - 11'38""
Um momento po favor, 1999/2004 - 4'14""


"
,"079_FV7_C006_NI805","00:09:00","Arxiu F.X.: La ciutat buida",,805,,,"BTV","o",,,,"V.O. en català",,"VHS","color","Converses a l'entorn del Fòrum. Lluís Foix entrevista a Anthony Giddens (Director de la London School of Economics)
"
"2007",,"01:20:00","Zona B: als marges d’Europa",,650,"I-XIII. Duració: 1h 20 min",,,,,"Angela Melitopoulos","p","si",,"DVD",,"Corridor X (Corredor X) (AUDIO)"
"2007",,"01:20:00","Zona B: als marges d’Europa",,648,"I-XIII. Duració: 1h 20 min",,,,,"Angela Melitopoulos","p",,,"DVD",,"Corridor X (Corredor X) (Pantalla izquierda)"
"1998",,"00:59:25","Merce Cunningham",,435,"es repeteix",,"Fundació Antoni Tàpies","o","mitjana","Fundació Antoni Tàpies","o","sí",,"VHS PAL","color","Crises (1960); Story (1963); Variations V (1965); Rain Forest (1968); Walkaround time(1968)."
,"011_FV7_C016_NI416","00:05:55","Hélio Oiticica",,416,"està en portuguès","Babuin, digitalització (gener 2011)",,,"passable",,,"si",,"VHS","color","Cristiane Alvarez"
"1961",,"00:52:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",711,"14-19 de maig de 2008",,,,,"Guy Debord","p","V.O. Subtitulada en castellà","2.2","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Critique de la séparation."
,"051_FV7_C016_NI517","01:30:00","Arquitectures del discurs",,517,"còpia utilitzada per a l'exposició. Babuin","Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Crónica de una lucha anunciada"
"2001","049_FV7_C016_NI473","01:00:00","Insideout: jardí del cambalache",,473,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Cultívate"
"2001","049_FV7_C016_NI475","01:30:00","Insideout: jardí del cambalache",,475,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Cultívate; Troc; Encants"
"1968, 1973, 1980, 1992","011_FV7_C016_NI795",,"Hélio Oiticica",,795,"*Direcció Antonio Manuel. Amb Hélio Oiticica, Rogério Duarte, Lygia Pape, Luis Sandanka, Caetano Veloso, al  Museu de Arte Moderna do Rio de Janeiro.
","Babuin, digitalització (gener 2011)","A & B Producçoes Cinematográficas","o","mitjana bona","Antonio Manuel
","p","V.O. en portugués",,"VHS","b/n  i color","Cultura & loucura*, 1968 
Somos o molde, Cabe a voces, O sopro (Lygia Clark, Hélio Oiticica, sala especial do 90 Salão Nacional de Artes Plásticas)
Quasi cinema. Fragmenten 

"
"1980",,"00:56:36","Merce Cunningham","Video D Studios",434,"es repeteix dos cops",,,,"una mica gastada",,,"mono",,"VHS PAL","color","Channels/inserts (1981); Roaratorio (1983); Pictures (1984); Points in Space (1986); August Pace (1989)."
"1983",,"00:11:23","Sanja Iveković. Alerta general. Obres 1974-2007",,639,,,,,,"Sanja Iveković","p","si",,"DVD, Video, sound, colour, autoplay, looped",,"Chanoyu"
"1990",,"00:03:00","Chris Marker","monitor 33' soterrani",224,"còpia usada durant l'exposició","Babuin, digitalització (gener 2011)",,,,"Chris Marker ","p","si","1/2","VHS pal","color","Chat écoutant la musique"
"1990","046_FV7_C016_NI394","01:00:00","Matt Mullican. Més detalls d’un univers imaginari",,394,"footatge edited from 16 mm. film, 1935
Babuin (Llorenç Torrada)","Babuin, digitalització (gener 2011)",,,,,,"si","5/5","VHS","color","D.G. Oswald"
"2000","051_FV7_C016_NI519","00:15:00","Arquitectures del discurs",,519,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Virginia Villaplana","p",,"Virginia Villaplana","p","si","1/3","VHS","color","Daydream Mechanics"
"1993",,,"Jana Sterbak. Velleitas","Declaration",164,"agraïments a B. de Lajugie, M. Legros i C. Crousel. 9,10 mm",,,,,"Fundació Antoni Tàpies","o","francès",,,"color","Declaration"
"1993","029_FV7_C006_NI444","00:09:50","Jana Sterbak. Velleitas",,444,"és un discurs","Babuin, digitalització (gener 2011)",,,"no massa bona",,,"si",,"VHS","color","Declaration"
"1969-70","031_FV7_C016_NI89","00:30:00 ","Marcel Broodthaers. Cinéma","Vídeo Défense de Fumer",89,"28 seg. (gravat en un si fin fins a 30 minuts)","Babuin, digitalització (gener 2011)","Marcel Broodthaers","p",,"Marcel Broodthaers","p","mut","Còpia 1","VHS","blanc i negre","Défense de Fumer"
"1999; 1996; 1991; 1987; 1982
","068_FV7_C016_NI557","01:02:00","Tour-ismes. La derrota de la dissensió",,557,"duración total 62 min. Déjà vu (21 min.);  Passagen (12 min.); Semiotic Ghosts (18 min.); Substantial Shadow (17 min.); Souvenirs (12 min.).","Babuin, digitalització (gener 2011)","Polyfilm Verleih, A. Daumreicher-Ivanceanu","o, p","buena","Lisl Ponger","p",,"1","VHS","color","Déjà vu (1999); Passagen (1996); Semiotic Ghosts (1991); Substantial Shadow (1987); Souvenirs (1982) "
"1998","047_FV7_C016_NI408","01:00:00","Eulàlia Valldosera. Obres 1990-2000","Devoción Retratada … Confía demasiado en su cabeza",408,"Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)",,,"bona",,,"si","1/1","VHS","color","Devoción Retratada … Confía demasiado en su cabeza"
"1978 - 1979",,,"Bahman Jalali",,657,"© Bahman Jalali & Rana Javadi",,,,,"Bahman Jalali, Rana Javadi","p, p","no",,"DVD","Diaporama b/n","Dies de sang, dies de foc"
"1996","042_FV7_C016_NI283","04:00:00","Renée Green. Ombres i senyals",,283,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,,"bona","Renée Green","p","si","2/2","VHS ","color","Dorothy Shinn, Brinsley Terrell, Janice and Lonnie Turner."
"1962 a 1977","058_FV7_C016_NI802",,"Shoot Shoot Shoot. La primera dècada de la London Film-Makers’ Co-operative i el cinema d’avantguarda britànic 1966-1976",,802,"Preview Reel. For reference only.
Sampler Tape
","Babuin, digitalització (gener 2011)","LUX (www.lfmc.org)","o","bona","VVAA","p","sí",,"VHS","color","Double screen films, London underground, Structural/Materialist, Location: Duration, Intervention & Processing, Diversifications, The Epic Flight, Expanded Cinema.
"
"2002
",,"00:25:00","Indivisuals",,546,,,,,"buena","Taras Polataiko","o","sin sonido","1/2","dvd","color","Dreams"
"2010",,"00:18:00","Anna Maria Maiolino",,821,"Veus: Anna Maria Maiolino, Veronica Gerchman i Sandra Urizzi Lessa
Instal·lació sonora",,,,"bona","Anna Maria Maiolino","p","sí",,"DVD Loop àudio","àudio","É, instal·lació sonora"
"1963, 1964","043_FV5_C017_NI377",,"Andy Warhol: cinema, vídeo i tv",,377,"còpia feta per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,,,"si","1/1","Betacam SP S","color","Eat, Couch, Sleep, The Chelsea Girls, Empire, Blow Job, Kiss, Couch, Fuego, Hello Again, TDK, Vacaciones en el mar"
"1979",,"01:47:00","Entusiasme",,733,,,"Zespol Filmowy Tor","o",,"Krzysztof Kieslowski","p","Polonès, castellà (subtítols en castellà).",,"DVD",,"El Aficionado (Amator)"
"2007",,"00:12:10","Tour-ismes. La derrota de la dissensió",,833,"Publicat sota llicència CC By-Nc",,,,,"Marcelo Expósito","p","Castellà / anglès",,"DVD","color","El año en que el futuro acabó (comenzó) / The year in wich the future ended (began)"
"2001","049_FV7_C016_NI483","01:38:00 ","Insideout: jardí del cambalache",,483,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","El plante"
"1995, 12 gener.","021_FV7_C016_NI32","--","En l’esperit de Fluxus","activitat - acció",32,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Jean-Jacques Lebel","p","--","còpia","VHS PAL","color","El treball de la mirada"
"1960, 1962, 1965, 1980, 1978, 1969, 1972, 1975","040_FV7_C016_NI400","01:06:00","El cinema calculat","auditori",400,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV","o",,"BTV","o","si","1/1","VHS","color","Elements d'imatge: Lines-Vertical, Lines-Horizontal, Mosaic, Trama, 3/78 (Objects and Transformations), Binary Bit Patterns, Matrix III, Gelfecht"
"1988 a 1995","028_FV7_C016_NI824",,"Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys",,824,"Josep M. Jordana, Fritzcarraldo, Luis Ángel Abad
Hi ha més films i autors. comença a partir del minut 00:01:40","Babuin, digitalització (gener 2011)
",,,,"VVAA","p","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 1
Meta/Pop
Aeronauta off
Mensaje recibido
"
"1988 a 1995","028_FV7CC016_NI825",,"Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys",,825,"Koldo Jones, Francisco Ruiz de Infante
Hi ha més autors i més obres. comença a partir del minut 00:01:40","Babuin, digitalització (gener 2011)",,,,"VVAA","p","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 2
Cossos & veus
Intro Vertido
Los paseos nocturnos (Les promenades nocturnes)

"
"1988 a 1995","028_FV7_C016_NI826",,"Senyals de vídeo: aspectes de la videocreació espanyola dels darrers anys",,826,"Joan Lenadre, Virginia Zabala
Hi ha més obres i autors","Babuin, digitalització (gener 2011)",,,,"VVAA","p","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 3
Entorn & Intern
Map 9.0
Vivan las caenas
Yo no soy yo (I)
Territorios ocupados"
"1924","025_FV7_C016_NI73","00:20:00","Francis Picabia. Màquines i espanyoles","Auditori",73,"Comprat al Centre Audio Visual de Paris
","Babuin, digitalització (gener 2011)","René Clair, Francis Picabia, Eric Satie","p, p, p","bona (imita qualitat pel.lícula antiga)","René Clair","p","bo","original","VHS Pal","b/n","Entr'acte"
"2008",,"00:40:00","Anna Maria Maiolino",,704,,,"Videcom","o","bona",,,"V.O. en portuguès. Subtítols en anglès.",,"DVD","color","Entrevidas"
"2008",,"00:40:00 ","Anna Maria Maiolino",,836,,,"Videcom","o","bona",,,"V.O. en portuguès. Subtítols en castellà",,"DVD Loop","color NTSC","Entrevidas"
,"020_FV7_C013_NI428","00:31:42","La primera generació: dones i vídeo, 1970-1975",,428,"és una entrevista","Babuin, digitalització (gener 2011)",,,"mitjana",,,"mono","còpia","VHS","color","Entrevista"
"2005",,"00:03:00
","Representacions àrabs contemporànies. L’equació iraquiana",,676,"ubicació: despatx Miquel, arxiu RAC",,,,,"Talal Refit","p","Música",,"DVD","Dibuixos animats","Epilog"
,"047_FV7_C016_NI405","00:53:00","Eulàlia Valldosera. Obres 1990-2000","Auditori",405,"Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia ValldoseraBabuin","Babuin, digitalització (gener 2011)",,,"bona",,,"si","1/1","VHS","color","Escombrada (Sweeping) Versió 2000; Embenatges (Bandages) i Loop"
"2000","047_FV5_C017_NI506","00:03:00","Eulàlia Valldosera. Obres 1990-2000",,506,"Per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011
","BABUIN","o",,"Fundació Antoni Tàpies","o","si","1/2","Betacam SP S","color","Escombrada (Sweeping) Versió 2001; Embenatges (Bandages); Loop"
"1994, 15 desembre.",,,"En l’esperit de Fluxus",,810,,,"Fundació Antoni Tàpies","o",,,,,,"V. 8 mm","color","Esther Ferrer -  Les coses"
"2000","047_FV8_C016_NI505","00:24:50","Eulàlia Valldosera. Obres 1990-2000",,505,"màster",,"Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","2/2","DVCAM","color","Eulàlia Valldosera. Obres 1990-2000"
"1987 (© 2010)",,"00:14:59","Eva Hesse. Treballs de l’estudi","Nivell 2, àrea d’Arts combinatòries",740,,,"Michael Blackwood Productions, Inc.","o","Bona","Michael Blackwood","p","V. O. en anglès, sense subtítols",,"DVD","Color","Excerpt from FOUR ARTISTS: Robert Ryman, Eva Hesse, Bruce Nauman, Susan Rothenberg."
"1980
",,"00:20:00","El somni del públic: Theresa Hak Kyung  Cha","Exileé ( Exiliada ). instalación de cinema y video",606,,,,,"buena","Theresa Hak Kyung Cha","p","con sonido. Voz de la artista","1","dvd","Video, blanco y negro","Exilée"
"1992/1997
x",,"00:01:05","Steve McQueen",,554,,,,,,"Steve McQueen","p","no",,"Pel·lícula en súper 8 mm transferida a DVD","vídeo, color","Exodus (Èxode)"
"2001","049_FV7_C016_NI485","01:48:00","Insideout: jardí del cambalache",,485,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color, loop","Expedición al dibujo"
"2003
","060_FV5_C017_NI542",,"Vídeos d’ocasió",,542,"Material per premsa. Extractes.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"Bona","Fundació Antoni Tàpies","o","sí","1","Betacam SP S","color; b/n","Extracte per premsa"
,"043_FV7_C017_NI496","00:04:00","Andy Warhol: cinema, vídeo i tv",,496,"video realitzat per la premsa",,"Fundació Antoni Tàpies","o","bona",,,"si","1/1","VHS","b/n i color","extractes de diferents pel·lícules"
"1954, 1958, 1968, 1968, 1977, 1978, 1987, 1991, 1993","038_FV5_C017_NI348","00:03:00","Merce Cunningham",,348,"video elaborat per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,,,"si","1/1","Betacam SP S","color","Extractes de: Minutiae, Antic Meet, RainForest, Walkaround Time, Travelogue, Exchange, Points in Space, Beach Birds, CRWDSPCR"
"
","061_FV7_C016_NI548","02:03:00","Indivisuals","Layover",548,,"Babuin, digitalització (gener 2011)",,,"buena","David Hoffos","p","sonido","1","vhs","color","Family group"
"1967, 1968, 1970, 1974",,"02:34:00","Amb i contra el cinema. Entorn del Maig del 68","Cicle de confe`rencies i de cinema",734,,,,,"Bona","Chris Marker, Grup Medvedkine, Bruno Muel, Col·lectiu de treballadors de Sochaux","p, o, p, o","V.O. en francès  (subtítols en castellà).","ORIGINAL","DVD","color","Films Grupo Medvedkine. Imágenes de la clase obrera en Francia del '68
1. A bientot, j'espere, Chris Marker i Mario Marret
    1967-1968 (44 min.)
2. Classe de lutte, Grupo Medvedkine de Besançon
    1968 (40 min.)
3. Sochaux, 11 juin 1968, Bruno Muel y colectivo de trabajadores de  
    Sochaux. 1970 (20 min.)
4. Avec le sang des autres, Bruno Muel
    1974 (50 min.)
   "
"2001","049_FV7_C016_NI486","00:52:20","Insideout: jardí del cambalache",,486,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/3","VHS","color","Fira d'intercanvi"
"2001","049_FV7_C016_NI489","02:00:00.","Insideout: jardí del cambalache",,489,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Fira d'intercanvi Mieres 9/11/97; Gran Angular - TVE Catalunya, Linea 900 - Neus Casals"
"2000-2001","046_FV7_C016_NI513","01:00:00","Matt Mullican. Més detalls d’un univers imaginari","Five into one",513,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Five into one"
