"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
"1997-2002
","064_FV7_C016_NI534","01:40:00","Representacions àrabs contemporànies. El Caire",,534,,"Babuin, digitalització (gener 2011)","Alive DV production, Sherif el Azma, Townhouse Gallery of contemporary art","o, p, p","buena","Hassan Khan, Sherief Mazma","p, p","con sonido; idioma arabe con subtitutlos en inglés","1","vhs","color","""the eye struck me and the lord of the throne saved me"" (1997) S. e. A.; ""this is the political film""(1998) S.e.A.; ""Donia/Amor"" (2000) S.e. A.; ""Fuck this film"" (1998) H.K; ""An interview with an housewife"" (2001) S.e. A.; ""Sometimes/Somewhere else"" (2001) H.K.; "" Stories about man and women"" (2001) H.K.; ""Fish soup"" (2001) S.e.A.; "" Six questions to the libanise"" (2001) H.K.; "" A prayer to the sound of dog"" (2001) S.e.A.; ""Technicolor mubarak"" (2001)H.K.; ""Transitions: a work in progress"" (2001) H.K.; ""100 portraits"" (2001) H.K.; "
"1989",,"00:28:00 ","Àfrica explora: art africà del segle XX","Auditori",122,"L'original d'una de les dues pel.lícules que es van passar a l'auditori",,"National Museum of African Art","o",,"Stanlsk Media","o","si ","original","VHS pal","color","""Togu Na & Cheko"" Change and Continuity in The Art of Mali"
"1969",,"00:27:42 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",724,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Besançon","o","V.O. Subtitulada en castellà","10.1","DVD b/n","Curtmetratges. PAL, 4/3. Stereo","(Sèrie) Nouvelle société nº5 - 7"
"1976",,"00:03:45","Anna Maria Maiolino",,832,"Actors: Paulo Herkenhoff i Bruno Tauz
Fotografia: Maria do Carmo Secco

",,,,"bona","Anna Maria Maiolino","p","no",,"DVD Loop","b/n","+ - = -"
"dels anys 30 als 60","045_FV7_C016_NI402",,"Cultures d'arxiu",,402,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat","o",,"Filmoteca de la Generalitat","o","si","1/1","VHS","color","1"
"1898, 1902, 1903, 1905, 1911, 1912",,"01:36:00","Antoni Tàpies. Els llocs de l’art","Nivell -2",735,"4. No té veu en off (sí la versió en anglès)
13. Intertítols en alemany. 1- 1min 7s
2. 12min 54s
3. 16m 36s
4. 6min 45s
5. 5min 6s
6. 2min 17s
7. 1min 49s
8. 2min 51s
9. 3min 39s
10. 3min 44s
11. 10min 23s
12. 10min 37s
13. 30min 22s",,"Lobster Films","o","Bona","Georges Méliès","p","So i veu en off en francès",,"DVD","b/n i b/n colorejat","1. ""Un homme de tete"" (The Four Troublesome Heads), 1898. Star Film 167
2. ""Voyage dans la lune"" (A Trip to the Moon), 1902. Star Film 399-411
3. ""Le Royaume de fees"" (The Kingdom of Fairies), 1903. Star Film 483-489
4. ""Faust aux enfers"" (The Damnation of Faust), 1903. Star Film 527-533
5. ""L'Auberge du bon repos"" (The Inn Where No Man Rests), 1903. Star Film 465-469
6. ""Illusion funambulesques"" (Extraordinary Illusions), 1903. Star Film 512-513
7. ""Le chaudron infernal""(The Infernal Cauldron), 1903. Star Film 499-500
8. ""Le melomane"" (The Melomaniac), 1903. Star Film 479-480
9. ""Le tonnerre de Jupiter"" (Jupiter's Thunderballs [Thunderbolts]), 1903. Star Film 503-505
10. ""Le puits fantastique"" (The Enchanted Well), 1903. Star Film 462-464
11. ""Le raid Paris-Monte Carlo en deux heures"" (An Adventurous Automobile Trip), 1905. Star Film 740-749
12. ""Les hallucinations du Baron Munchausen"" (Baron Munchausen's Dream), 1911. Star Film - Pathé Frères
13. ""A la conquete du Pole"" (The Conquest of the Pole), 1912. Star Film - Pathé Frères"
"1973, 1974, 1976, 1982, 1999, 2004",,,"Anna Maria Maiolino",,781,,,,,"Bona","Anna Maria Maiolino","p","Portuguès, música",,"DVD","Color","1. Construção/Jogo, 1973 - 6'48""
2. In-Out (Antropofagia), 1973-74 - 8'14""
3. X, 1974 - 3'
4. Y, 1974 - 2'28""
5. + – = –, 1976 - 3'45"" 
6. Verso/Inversus, 1979 - 2'45""
7. Ad Hoc, 1982 - 2'45""
8. + & –, 1999 - 5'59
9. 1/3 x 2x3, 2003 - 11'38""
10. Um Momento, Por Favor, 1999/2004 - 4'14"""
"2001, 2002","068_FV7_C016_NI827",,"Tour-ismes. La derrota de la dissensió",,827,"1. 01:12:50
2. 00:30:00
3. ?","Babuin, digitalització (gener 2011)",,,,"Harun Farocki","p","1. V.O. en alemany, subtítols en anglès. 2 i 3 V.O. en català",,"VHS","color","1. Die Schöpfer der Einkaufswelten (The creators of shopping world). 01:12:50
2. Programa 30 minuts, TV3. Ciutat vella (09/06/2002). 00:30:00
3. Programa La nit al dia. Entrevista a J. Acebillo (19/11/2002)"
"2002; 2003
",,"00:11:54","Tour-ismes. La derrota de la dissensió",,564,"problema de lectura del dvd
1. Text original en anglès, subtítols en castellà
2. V.O. en castellà.        1. 00:08:00
2. 00:03:54",,,,,"Eduardo Díaz, Angelika Levi","p, p","Sí","2/2 y 1","dvd","color","1. I can't get no satisfaction, 2002
2. Hay que gastar dinero, 2003"
"2001","051_FV7_C016_NI463","00:14:00","Arquitectures del discurs, Insideout: jardí del cambalache","inauguració",463,"Ute Meta Bauer, Fareed Armaly, madeinbarcelona, Viviana Narotzky, Mika Vainio, Virginia Vilaplana (Arquitectures del discurs).
Federico Guzmán (Insideout). 1. 00:10:00
2. 00:04:00","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o","bona","Miquel Tàpies","p","si","1/1","VHS","color","1. Inauguració (Arquitectures del discurs). 
2. Reportatge a la terrassa de la Fundació (El jardí del Cambalache)."
"2003","068_FV7_C006_NI806",,"Tour-ismes. La derrota de la dissensió",,806,"1. Comenca a: 00:01:30
2. Comença a 00:10:27
3. Comença a 01:15:00",,"BTV","o",,,,"V.O. en castellà i català",,"VHS","color","1. Núria Enguita parla sobre Tour-ismes.
2. Einstein a la platja. Pere Arús, Antoni Casademont (Començat)
3. Einstein a la platja. Noves pestes pel segle. XXI. Albert Pahissa, Francesc Gudiol, Joaquín Contreras, Milagros Pérez Oliba.
"
